Date,Open,High,Low,Close,Adj Close,Volume
2022-02-14,7750.000000,7775.000000,7700.000000,7700.000000,7205.042969,57710700
2022-02-15,7750.000000,7875.000000,7725.000000,7875.000000,7368.793945,55617000
2022-02-16,7850.000000,7975.000000,7825.000000,7975.000000,7462.365234,77055100
2022-02-17,7850.000000,7925.000000,7800.000000,7900.000000,7392.187012,48704600
2022-02-18,7950.000000,7950.000000,7850.000000,7925.000000,7415.579590,56813400
2022-02-21,7925.000000,7975.000000,7900.000000,7950.000000,7438.972168,43821700
2022-02-22,7900.000000,7950.000000,7850.000000,7900.000000,7392.187012,80095500
2022-02-23,7900.000000,8100.000000,7875.000000,8050.000000,7532.543945,99240300
2022-02-24,8125.000000,8150.000000,7925.000000,8000.000000,7485.758789,124947700
2022-02-25,7950.000000,8175.000000,7925.000000,8050.000000,7532.543945,135899900
2022-03-01,8000.000000,8175.000000,8000.000000,8050.000000,7532.543945,136616800
2022-03-02,8225.000000,8225.000000,7975.000000,7975.000000,7462.365234,100301000
2022-03-04,7975.000000,8025.000000,7900.000000,7900.000000,7392.187012,132983400
2022-03-07,7800.000000,7850.000000,7700.000000,7700.000000,7205.042969,130990900
2022-03-08,7700.000000,7850.000000,7650.000000,7650.000000,7158.256836,119256500
2022-03-09,7700.000000,7950.000000,7650.000000,7850.000000,7345.400391,132814500
2022-03-10,7925.000000,7975.000000,7800.000000,7925.000000,7415.579590,86484000
2022-03-11,7725.000000,7950.000000,7725.000000,7950.000000,7438.972168,61053900
2022-03-14,8050.000000,8100.000000,7950.000000,8075.000000,7555.937500,78432100
2022-03-15,8150.000000,8200.000000,8075.000000,8150.000000,7626.116699,111214500
2022-03-16,8275.000000,8275.000000,8075.000000,8200.000000,7672.901855,149761300
2022-03-17,8300.000000,8300.000000,8000.000000,8000.000000,7485.758789,132439400
2022-03-18,8000.000000,8100.000000,7900.000000,7900.000000,7392.187012,143981700
2022-03-21,7800.000000,7950.000000,7800.000000,7900.000000,7392.187012,85485500
2022-03-22,7900.000000,7950.000000,7875.000000,7925.000000,7415.579590,60010900
2022-03-23,7925.000000,7950.000000,7825.000000,7900.000000,7392.187012,82208000
2022-03-24,7850.000000,7950.000000,7800.000000,7925.000000,7415.579590,95245100
2022-03-25,7900.000000,7950.000000,7900.000000,7950.000000,7438.972168,85101200
2022-03-28,7825.000000,7900.000000,7800.000000,7900.000000,7505.477051,83911500
2022-03-29,7875.000000,7900.000000,7825.000000,7850.000000,7457.973633,62180600
2022-03-30,7900.000000,7900.000000,7825.000000,7875.000000,7481.725586,71430600
2022-03-31,7925.000000,8000.000000,7875.000000,7975.000000,7576.730957,112691900
2022-04-01,8075.000000,8075.000000,7850.000000,7925.000000,7529.228516,105575400
2022-04-04,7925.000000,7925.000000,7825.000000,7900.000000,7505.477051,57321200
2022-04-05,7900.000000,7900.000000,7850.000000,7900.000000,7505.477051,48528300
2022-04-06,7825.000000,7850.000000,7750.000000,7750.000000,7362.967773,119263000
2022-04-07,7725.000000,7825.000000,7700.000000,7750.000000,7362.967773,68619400
2022-04-08,7800.000000,7875.000000,7775.000000,7850.000000,7457.973633,69791600
2022-04-11,7825.000000,7875.000000,7725.000000,7725.000000,7339.216309,62776200
2022-04-12,7725.000000,7800.000000,7700.000000,7800.000000,7410.470703,73471300
2022-04-13,7800.000000,7850.000000,7750.000000,7800.000000,7410.470703,57622100
2022-04-14,7800.000000,7800.000000,7700.000000,7700.000000,7315.464844,93342900
2022-04-18,7700.000000,7725.000000,7625.000000,7700.000000,7315.464844,68464700
2022-04-19,7700.000000,7700.000000,7625.000000,7625.000000,7244.210449,98632000
2022-04-20,7725.000000,7725.000000,7625.000000,7650.000000,7267.961914,124388800
2022-04-21,7800.000000,7925.000000,7750.000000,7925.000000,7529.228516,129323400
2022-04-22,7850.000000,7925.000000,7800.000000,7875.000000,7481.725586,85956100
2022-04-25,7875.000000,8000.000000,7825.000000,8000.000000,7600.482910,91279600
2022-04-26,7925.000000,8125.000000,7925.000000,8125.000000,7719.240234,128360900
2022-04-27,8075.000000,8200.000000,8075.000000,8200.000000,7790.494141,89463100
2022-04-28,8250.000000,8250.000000,8075.000000,8125.000000,7719.240234,133730600
2022-05-09,7875.000000,7900.000000,7600.000000,7600.000000,7220.458496,456796600
2022-05-10,7250.000000,7600.000000,7250.000000,7525.000000,7149.203613,268445700
2022-05-11,7525.000000,7700.000000,7450.000000,7650.000000,7267.961914,156535200
2022-05-12,7525.000000,7550.000000,7275.000000,7275.000000,6911.688477,240529600
2022-05-13,7250.000000,7475.000000,7250.000000,7325.000000,6959.191895,212968600
2022-05-17,7275.000000,7475.000000,7275.000000,7400.000000,7030.446777,159657600
2022-05-18,7500.000000,7575.000000,7375.000000,7575.000000,7196.707031,153514300
2022-05-19,7400.000000,7475.000000,7375.000000,7450.000000,7077.949707,140908900
2022-05-20,7425.000000,7475.000000,7400.000000,7400.000000,7030.446777,86520200
2022-05-23,7450.000000,7475.000000,7350.000000,7375.000000,7006.694824,71603500
2022-05-24,7325.000000,7475.000000,7325.000000,7350.000000,6982.943359,108710800
